"index","Fecha","Texto","code"
310,"2021-11-15T10:32:56.000Z","Hoy Josu Jon Imaz, CEO de @Repsol, ha participado en el debate de @el_pais  y @Deloitte_ES sobre los retos y oportunidades de los fondos #NextGeneration, que ha contado también con la ministra @MarotoReyes. 
De su intervención me quedo con: (Abro hilo 1/4) https://t.co/SOJov8hSOr","{'code': 'Performance', 'polarity': 'P'}"
311,"2021-11-15T10:25:15.000Z","@Repsol A ver, que lo mío era sarcasmo, explicárselo a Casado","{}"
312,"2021-11-15T10:19:35.000Z","@OscarFotas @Repsol @vueling Nadie habla de ""posibles soluciones"". La entrecomilla de mi tuit define el acto tal y como se convocó. Si escuchas la pieza creo que el tema está bien explicado.
Otra opción es silenciar todos los actos de este tipo. Entendimos que era mejor explicarlo.
Gracias por tu apreciación","{}"
313,"2021-11-15T09:49:20.000Z","RT @MartinezGistau: En la mesa redonda de @el_pais sobre fondos #NextGeneratin moderada por @agvicente con los líderes de @Iberia @Repsol @…","{'code': 'Leadership', 'polarity': 'P'}"
314,"2021-11-15T09:46:33.000Z","En la mesa redonda de @el_pais sobre fondos #NextGeneratin moderada por @agvicente con los líderes de @Iberia @Repsol @GoogleES y @Deloitte_ES junto con Gonzalo Gortázar, consejero delegado de @CaixaBank. Todos coinciden en la gran oportunidad que representan para las empresas https://t.co/xHwGbpterF","{'code': 'Leadership', 'polarity': 'P'}"
315,"2021-11-15T09:39:09.000Z","@lathamwatkins  asesora a @Repsol  en la incorporación de Pontegadea como socio en el parque eólico Delta https://t.co/TGUsQ9yHLn https://t.co/3kLTlDEkeP","{}"
316,"2021-11-15T09:14:17.000Z","Vaya vaya en el program de @anarosaq asi que la solucion al transporte la va ha da un señor que quiere nacionalizar @Repsol y que los golfos son los empresarios. Esa forma de pensar solo es factible en un estado comunista.
Verguenza por la informacion.","{}"
317,"2021-11-15T09:11:59.000Z","RT @luisartolu: 'Cinco grandes' de la #bolsaespañola como son los de @Renta4: @ArcelorMittalES, #IAG, @cellnextelecom, @Repsol y @bancosant…","{}"
318,"2021-11-15T09:11:03.000Z","'Cinco grandes' de la #bolsaespañola como son los de @Renta4: @ArcelorMittalES, #IAG, @cellnextelecom, @Repsol y @bancosantander   https://t.co/ixmA8Imc91 a través de @valenciaplaza","{}"
319,"2021-11-15T08:59:24.000Z","RT @aeqtonline: #LatevaQuímica L’Aitor Estébanez és encarregat d’equips estàtics de @Repsol i és un enamorat de la seva feina.Començà a tre…","{'code': 'Governance', 'polarity': 'NONE'}"
320,"2021-11-15T08:56:28.000Z","RT @IMOPInsights: Líderes en patrocinio deportivo @nikespain__, @adidas_ES, @Movistar_Team, @Repsol, @redbullESP.  Fútbol, Motociclismo y A…","{'code': 'Leadership', 'polarity': 'P'}"
321,"2021-11-15T08:56:10.000Z","RT @Lfarras: ¿Con qué volarán los aviones del futuro (y no tan futuro)? En @LaVanguardia con info de Sandra Blázquez de @Repsol en @InnoEne…","{}"
322,"2021-11-15T08:54:55.000Z","Líderes en patrocinio deportivo @nikespain__, @adidas_ES, @Movistar_Team, @Repsol, @redbullESP.  Fútbol, Motociclismo y Automovilismo los deportes con más menciones #sponsorship #patrocinio https://t.co/zuoq9AQD9M","{'code': 'Leadership', 'polarity': 'P'}"
323,"2021-11-15T08:53:44.000Z","@Repsol hay alguna oferta o descuento en la bombona de butano, en gasolineras o reparto a domicilio. Por ser cliente de Repsol luz?","{}"
324,"2021-11-15T07:53:24.000Z","@EspanaGlobal @BrandsofSpain @camarascomercio @CEOE_ES @Pormarca_Espana @Adif_es @aena @rtve @Iberia @LaLiga @Teatro_Real @santander_es @bbva @Repsol @MeliaHotelsInt @nhhotelgroup @deportegob @cesce_es @ENAIRE https://t.co/ETw9v9KJ7m","{}"
325,"2021-11-15T07:44:05.000Z","@hasta_el_lunes @Repsol @vueling Hay que tener cuidado al presentar actos publicitarios de #greenwashing como posibles soluciones para un sector que es insostenible por definición. Es imposible seguir volando tanto y reducir emisiones quemando solo biocombustibles","{}"
326,"2021-11-15T07:29:19.000Z","RT @hasta_el_lunes: Y hablando de biocombustibles, este es el carburante utilizado en el ""primer vuelo con combustible sostenible"" que ha p…","{'code': 'Citizenship', 'polarity': 'P+'}"
327,"2021-11-15T07:13:51.000Z","RT @Repsol: ¡Bienvenidos a nuestra Isla Sostenible en Animal Crossing! Un lugar donde la energía, la eficiencia y la economía circular son…","{}"
328,"2021-11-15T07:02:26.000Z","Y hablando de biocombustibles, este es el carburante utilizado en el ""primer vuelo con combustible sostenible"" que ha presentado en Sevilla. 🤨
La cosa suena rara, pero te la explicamos con detalle. Con las voces de #JavierSancho de @Repsol y #MarcoSansavini de @vueling.
8/9 https://t.co/7qF7NbtCjz","{}"
329,"2021-11-15T06:29:12.000Z","Con lo que me costó aprenderlas, las tarifas valle, punta y llano de la luz desaparecen. Ahora las tarifas son por horas 🕒

👇👇https://t.co/iLcLK0FISM

#luz #precioluz #energia @TotalEnergiesES @iberdrola @Endesa @Repsol","{}"
330,"2021-11-15T03:01:33.000Z","RT @Socodevi_Col: Nuestro cofinanciador @repsol nos visitó en el #chocoshow en @corferias y se llevó una gratificante experiencia cacaotera…","{'code': 'ProductsServices', 'polarity': 'P'}"
331,"2021-11-15T02:20:16.000Z","RT @SER_Cartagena: Consigue aquí tu entrada: https://t.co/VNk4wwjVvg

#ConVozdeMujerSER Cartagena es patrocinado por: @regiondemurcia @Cana…","{}"
332,"2021-11-15T02:19:32.000Z","RT @SER_Cartagena: #ConVozdeMujerSER de @SER_Cartagena es patrocinado por: @regiondemurcia @CanalesTaibilla @PuertodeCtg @Repsol @grupo_luc…","{}"
333,"2021-11-15T00:46:10.000Z","RT @Socodevi_Col: Nuestro cofinanciador @repsol nos visitó en el #chocoshow en @corferias y se llevó una gratificante experiencia cacaotera…","{'code': 'ProductsServices', 'polarity': 'P'}"
334,"2021-11-14T23:41:42.000Z","RT @ACives: @Repsol Ya podeis ir borrando chavalesss https://t.co/KuaLk5XRHS","{}"
335,"2021-11-14T23:34:29.000Z","RT @SoyCartaginense: #Twitter responde con duras críticas a este mensaje de @informativost5 por su desprecio a #Cartagena.
@Ar_ch_er_ @stgc…","{'code': 'Governance', 'polarity': 'N'}"
336,"2021-11-14T23:19:15.000Z","RT @SoyCartaginense: #Twitter responde con duras críticas a este mensaje de @informativost5 por su desprecio a #Cartagena.
@Ar_ch_er_ @stgc…","{'code': 'Governance', 'polarity': 'N'}"
337,"2021-11-14T22:32:18.000Z","RT @SoyCartaginense: #Twitter responde con duras críticas a este mensaje de @informativost5 por su desprecio a #Cartagena.
@Ar_ch_er_ @stgc…","{'code': 'Governance', 'polarity': 'N'}"
338,"2021-11-14T22:10:57.000Z","Nuestro cofinanciador @repsol nos visitó en el #chocoshow en @corferias y se llevó una gratificante experiencia cacaotera.

¡Seguiremos trabajando juntos por el campo de Colombia! 🙌 https://t.co/sx2X1ZOcYC","{'code': 'ProductsServices', 'polarity': 'P'}"
339,"2021-11-14T22:02:37.000Z","RT @SoyCartaginense: #Twitter responde con duras críticas a este mensaje de @informativost5 por su desprecio a #Cartagena.
@Ar_ch_er_ @stgc…","{'code': 'Governance', 'polarity': 'N'}"
340,"2021-11-14T21:29:32.000Z","RT @Repsol: ¡Bienvenidos a nuestra Isla Sostenible en Animal Crossing! Un lugar donde la energía, la eficiencia y la economía circular son…","{}"
341,"2021-11-14T21:27:43.000Z","@Repsol @vueling @aena Pues a ver si uno puede mover las piernas en vuestros aviones de juguete...he visto más espacio en latas de sardinas...viajas con Vueling y te tiras 6 días acalambrado..parece que vas remando en galeras , comprensible teniendo en cuenta que sois corsarios","{}"
342,"2021-11-14T21:22:57.000Z","@Repsol Y de noche, qué? A ver si solo @pablocasado_  ha sido el único en darse cuenta de esa fisura en la producción energética!!!","{}"
343,"2021-11-14T21:13:20.000Z","RT @TeodoroVega: Mientras llega la carta de @LeoDiCaprio

@RepsolEcuador filial de @Repsol 🇪🇸vende su participación en el Bloque 16 en el #…","{'code': 'Governance', 'polarity': 'P'}"
344,"2021-11-14T21:07:12.000Z","RT @TeodoroVega: Mientras llega la carta de @LeoDiCaprio

@RepsolEcuador filial de @Repsol 🇪🇸vende su participación en el Bloque 16 en el #…","{'code': 'Governance', 'polarity': 'P'}"
345,"2021-11-14T20:48:29.000Z","#Twitter responde con duras críticas a este mensaje de @informativost5 por su desprecio a #Cartagena.
@Ar_ch_er_ @stgcartago @NetflixES @franjoruca @paconadal @aaguirredc @CartageneroU @murciaplaza_com @reg_murcia @Repsol @licor43_es @Armada_esp @cesarnebot @RosaRodaNews @maar_ct https://t.co/Fi6XcOBkyV","{'code': 'Governance', 'polarity': 'N'}"
346,"2021-11-14T20:47:15.000Z","@Repsol Greenwashing virtual, qué será lo próximo?","{}"
347,"2021-11-14T20:32:26.000Z","RT @TeodoroVega: Mientras llega la carta de @LeoDiCaprio

@RepsolEcuador filial de @Repsol 🇪🇸vende su participación en el Bloque 16 en el #…","{'code': 'Governance', 'polarity': 'P'}"
348,"2021-11-14T20:18:05.000Z","RT @Overlord_Eden: Y este link de abajo, es algo que los cenutrios de @Repsol nunca leyeron antes de hacer esta campaña...

https://t.co/nF…","{}"
349,"2021-11-14T19:59:20.000Z","Mientras llega la carta de @LeoDiCaprio

@RepsolEcuador filial de @Repsol 🇪🇸vende su participación en el Bloque 16 en el #Yasuni a una empresa cuestionada en Colombia y que el año pasado ya lo intentó y no pudo

@RecNaturalesEC @Ambiente_Ec https://t.co/Kr1OIiPtat","{'code': 'Governance', 'polarity': 'NONE'}"
350,"2021-11-14T18:55:56.000Z","RT @Murdiario: El SEF formará a desempleados en el mantenimiento de plataformas petrolíferas https://t.co/4r9BRlxNky 

@sef_carm @fremm_es…","{}"
351,"2021-11-14T18:51:39.000Z","El equipo de estáticos de la Refinería de @Repsol es formidable. Grandes profesionales, al igual que en el resto de especialidades. https://t.co/aQkfRr0avW","{}"
352,"2021-11-14T18:31:34.000Z","A @Repsol no s'adonen que, en l'anunci en català, la frase ""zero emissions netes"" es una frase que se'ls gira en contra? Potser es un atac de sinceritat... Però la polisemia ja ho te això (netas vs limpias en cast)","{}"
353,"2021-11-14T18:21:44.000Z","20€ me han cobrao los cabrones de @Repsol por 14 de diésel. Este Sánchez nos va a llevar a la ruina","{}"
354,"2021-11-14T18:07:35.000Z","@Repsol Explicárles bien a @pablocasado_ que pasa cuando el sol se va.","{}"
355,"2021-11-14T18:00:00.000Z","Según @MorganStanley , solo el aumento en beneficios de @Repsol  en 2022 por refino y marketing cubriría el 50% del dividendo que ha decidido aumentar hasta los 0,63 eur/acc ➡️ https://t.co/skxjiFNyX8
#Empresas #España #Ibex35 https://t.co/SR1T5CYzAD","{'code': 'Performance', 'polarity': 'P+'}"
356,"2021-11-14T18:00:00.000Z","Ven a nuestras #EstacionesDeServicio @Repsol y hazte con la nueva colección de #MickeyMouse de Disney.

🍽️¡Cinco artículos exclusivos!
💰Tan solo 4,99€ cada producto de la colección
💳También podrás adquirirlos canjeando 795 Puntos Travel Club.
➕ INFO en https://t.co/Axg5UMzwQA https://t.co/C43jqnwcVM","{}"
357,"2021-11-14T17:34:32.000Z","¿Con qué volarán los aviones del futuro (y no tan futuro)? En @LaVanguardia con info de Sandra Blázquez de @Repsol en @InnoEnergyEU #TBB2021 Joan Ramon Morante y @alberttarancon de @IREC_Energia y @AesaSpain https://t.co/0RpsmECbA5","{'code': 'ProductsServices', 'polarity': 'NONE'}"
358,"2021-11-14T16:40:42.000Z","RT @Repsol: ¡Bienvenidos a nuestra Isla Sostenible en Animal Crossing! Un lugar donde la energía, la eficiencia y la economía circular son…","{}"
359,"2021-11-14T16:24:49.000Z","@aeqtonline @Repsol Enhorabona pel teu català!","{}"
360,"2021-11-14T15:48:13.000Z","@Repsol hola contraté a 0,1099 y a partir del 5 de noviembre me sale en la aplicación a 0,1258 no entiendo nada","{'code': 'ProductsServices', 'polarity': 'N'}"
361,"2021-11-14T15:42:55.000Z","@Repsol Tremendo greenwashing","{}"
362,"2021-11-14T15:32:45.000Z","RT @HRC_MotoGP: A pleasure to join our @repsol family and their guests today!

@polespargaro welcomed with open arms and sharing a few stor…","{}"
363,"2021-11-14T15:07:20.000Z","@Repsol Uy, Repsol, creo que alguien ha ocultado este tuit por error:
https://t.co/Ncuo185l0K","{}"
364,"2021-11-14T15:06:04.000Z","RT @rulo_topo: @Repsol Os falta un poco de esto para dejar la isla acorde del todo a lo que hacéis. Menos greenwashing anda. https://t.co/S…","{}"
365,"2021-11-14T15:03:42.000Z","RT @rulo_topo: @Repsol Os falta un poco de esto para dejar la isla acorde del todo a lo que hacéis. Menos greenwashing anda. https://t.co/S…","{}"
366,"2021-11-14T14:56:02.000Z","@rulo_topo @Repsol La respuesta oculta, por si alguien no puede verlo y no sabe como verla. https://t.co/Sfe0mU7luq","{}"
367,"2021-11-14T14:51:47.000Z","Magnate Amancio Ortega compra importante participación en parque eólico de Repsol en España  https://t.co/tH4cJLgg8z @Repsol","{'code': 'Governance', 'polarity': 'NONE'}"
368,"2021-11-14T14:37:25.000Z","RT @ACives: @Repsol Ya podeis ir borrando chavalesss https://t.co/KuaLk5XRHS","{}"
369,"2021-11-14T14:36:34.000Z","RT @Murdiario: El SEF formará a desempleados en el mantenimiento de plataformas petrolíferas https://t.co/4r9BRlxNky 

@sef_carm @fremm_es…","{}"
370,"2021-11-14T14:30:57.000Z","RT @rulo_topo: @Repsol Os falta un poco de esto para dejar la isla acorde del todo a lo que hacéis. Menos greenwashing anda. https://t.co/S…","{}"
371,"2021-11-14T14:29:44.000Z","RT @rulo_topo: @Repsol Os falta un poco de esto para dejar la isla acorde del todo a lo que hacéis. Menos greenwashing anda. https://t.co/S…","{}"
372,"2021-11-14T14:24:17.000Z","RT @HRC_MotoGP: A pleasure to join our @repsol family and their guests today!

@polespargaro welcomed with open arms and sharing a few stor…","{}"
373,"2021-11-14T14:22:56.000Z","RT @rulo_topo: @Repsol Os falta un poco de esto para dejar la isla acorde del todo a lo que hacéis. Menos greenwashing anda. https://t.co/S…","{}"
374,"2021-11-14T14:22:25.000Z","RT @rulo_topo: @Repsol Os falta un poco de esto para dejar la isla acorde del todo a lo que hacéis. Menos greenwashing anda. https://t.co/S…","{}"
375,"2021-11-14T14:21:57.000Z","RT @rulo_topo: @Repsol Os falta un poco de esto para dejar la isla acorde del todo a lo que hacéis. Menos greenwashing anda. https://t.co/S…","{}"
376,"2021-11-14T14:21:38.000Z","RT @Repsol: ¡Bienvenidos a nuestra Isla Sostenible en Animal Crossing! Un lugar donde la energía, la eficiencia y la economía circular son…","{}"
377,"2021-11-14T14:18:30.000Z","RT @rulo_topo: @Repsol Os falta un poco de esto para dejar la isla acorde del todo a lo que hacéis. Menos greenwashing anda. https://t.co/S…","{}"
378,"2021-11-14T14:18:13.000Z","RT @rulo_topo: @Repsol Os falta un poco de esto para dejar la isla acorde del todo a lo que hacéis. Menos greenwashing anda. https://t.co/S…","{}"
379,"2021-11-14T13:58:56.000Z","RT @Repsol: ¡Bienvenidos a nuestra Isla Sostenible en Animal Crossing! Un lugar donde la energía, la eficiencia y la economía circular son…","{}"
380,"2021-11-14T13:43:03.000Z","@Repsol https://t.co/gQcwkVccvB","{}"
381,"2021-11-14T13:35:55.000Z","RT @HRC_MotoGP: A pleasure to join our @repsol family and their guests today!

@polespargaro welcomed with open arms and sharing a few stor…","{}"
382,"2021-11-14T13:22:08.000Z","RT @HRC_MotoGP: A pleasure to join our @repsol family and their guests today!

@polespargaro welcomed with open arms and sharing a few stor…","{}"
383,"2021-11-14T13:19:10.000Z","RT @HRC_MotoGP: A pleasure to join our @repsol family and their guests today!

@polespargaro welcomed with open arms and sharing a few stor…","{}"
384,"2021-11-14T12:48:40.000Z","RT @HRC_MotoGP: A pleasure to join our @repsol family and their guests today!

@polespargaro welcomed with open arms and sharing a few stor…","{}"
385,"2021-11-14T12:38:54.000Z","RT @rulo_topo: @Repsol Os falta un poco de esto para dejar la isla acorde del todo a lo que hacéis. Menos greenwashing anda. https://t.co/S…","{}"
386,"2021-11-14T12:37:36.000Z","RT @HRC_MotoGP: A pleasure to join our @repsol family and their guests today!

@polespargaro welcomed with open arms and sharing a few stor…","{}"
387,"2021-11-14T12:04:29.000Z","RT @HRC_MotoGP: A pleasure to join our @repsol family and their guests today!

@polespargaro welcomed with open arms and sharing a few stor…","{}"
388,"2021-11-14T12:00:01.000Z","#ConVozdeMujerSER Cartagena es patrocinado por: @regiondemurcia @CanalesTaibilla @PuertodeCtg @Repsol @grupo_lucas @LHICARSA @Alsa_autobuses @VicepresidenRM

https://t.co/PkLsxv2KCx","{}"
389,"2021-11-14T11:58:48.000Z","Interesting - Energy Transition targets of the European Oil Majors

Til now $RDS seems to be the leader when it comes to low carbon #hydrogen projects. #GreenHydrogen would be better.

Let’s go #GreenHydrogen! @shell @eni @totalenergies @bp_plc @repsol https://t.co/MYbl9D2N3j","{}"
390,"2021-11-14T11:58:19.000Z","@Repsol A ver si es verdad que llamáis. El viernes estuve esperando toda la mañana para nada… https://t.co/8FgyWRsEcH","{}"
391,"2021-11-14T11:52:30.000Z","RT @Overlord_Eden: Y este link de abajo, es algo que los cenutrios de @Repsol nunca leyeron antes de hacer esta campaña...

https://t.co/nF…","{}"
392,"2021-11-14T11:51:06.000Z","RT @HRC_MotoGP: A pleasure to join our @repsol family and their guests today!

@polespargaro welcomed with open arms and sharing a few stor…","{}"
393,"2021-11-14T11:50:07.000Z","RT @rulo_topo: @Repsol Os falta un poco de esto para dejar la isla acorde del todo a lo que hacéis. Menos greenwashing anda. https://t.co/S…","{}"
394,"2021-11-14T11:39:05.000Z","RT @laquintareforma: @kohantoys Pasé ayer por una gasolinera (soy un micro contratista,no arquitecto; disfruto de la belleza allá donde est…","{}"
695,"2021-11-12T13:43:12.000Z","RT @PodiumPodcast: La ciencia está detrás de todo, en la belleza y en el deporte. @deborahciencia nos explica cómo la formulación cosmética…","{}"
696,"2021-11-12T13:31:31.000Z","RT @Repsol: ¡Bienvenidos a nuestra Isla Sostenible en Animal Crossing! Un lugar donde la energía, la eficiencia y la economía circular son…","{}"
697,"2021-11-12T13:28:57.000Z","RT @Repsol: ¡Bienvenidos a nuestra Isla Sostenible en Animal Crossing! Un lugar donde la energía, la eficiencia y la economía circular son…","{}"
698,"2021-11-12T13:22:46.000Z","Hola @Repsol
 ¿Donde descargo mi cheque carburante de #waylet por haber consumido mas de 250L de carburante al trimestre? Gracias","{}"
699,"2021-11-12T13:15:02.000Z","Descubre las últimas noticias de los miembros de @PlataformaEMS 📢

📌 @CyclingFriendly 
📌 @motorpress_es 
📌 @Repsol 
📌 @emovili_ 
📌 @FirstStop_Esp

¡No te lo pierdas! 👇

#MovilidadSostenible

https://t.co/L8nHxUdKvs","{}"
700,"2021-11-12T13:15:01.000Z","RT @AFANMADRID: Compañías q ofrecen #BonoSocial están reguladas por el gobierno: @TuIberdrola (Curenergia), @NaturgyClientEs  (Gas&amp;Power),…","{}"
701,"2021-11-12T13:11:30.000Z","RT @Repsol: ¡Bienvenidos a nuestra Isla Sostenible en Animal Crossing! Un lugar donde la energía, la eficiencia y la economía circular son…","{}"
702,"2021-11-12T13:05:07.000Z","RT @Repsol: Las placas solares, ¡giran en torno al sol! Y tú, ¿quieres girar en torno a ellas? Sumérgete dentro de este vídeo 360º y descub…","{}"
703,"2021-11-12T12:59:39.000Z","Compañías q ofrecen #BonoSocial están reguladas por el gobierno: @TuIberdrola (Curenergia), @NaturgyClientEs  (Gas&amp;Power), @EndesaClientes  (EnergiaXXI), @ChcEnergia , EDP (Baser), @Repsol  (Regsiti) La ampliación del descuento del 25% al 60% es automática, no hay q hacer nada. https://t.co/ldBsUwwv9h","{}"
704,"2021-11-12T12:59:31.000Z","RT @nataliavilloria: 👏👏 Un año más el prestigioso webranking internacional de @comprend selecciona a @repsol como la mejor web corporativa…","{'code': 'Leadership', 'polarity': 'P+'}"
705,"2021-11-12T12:51:12.000Z","RT @bolverkr: Nueve días sin bombona @Repsol @GuiaRepsol @box_repsol 

Se nos promete por teléfono que van a venir y es mentira.","{}"
706,"2021-11-12T12:49:32.000Z","Nueve días sin bombona @Repsol @GuiaRepsol @box_repsol 

Se nos promete por teléfono que van a venir y es mentira. https://t.co/XP37B1bbKZ","{}"
707,"2021-11-12T12:30:55.000Z","RT @expansioncom: Amancio Ortega entra en las #renovables. Acuerdo entre @Repsol y Pontegadea, su sociedad de inversión, para asociarse en…","{}"
708,"2021-11-12T12:24:46.000Z","@Repsol Ayer me pedisteis un número de teléfono para solventar una recogida de bombonas pendiente desde el 3 de octubre. Os dije que podíais llamar a partir de las 10. Toda la mañana esperando para nada.  Menuda atención al cliente!!!","{'code': 'ProductsServices', 'polarity': 'P+'}"
709,"2021-11-12T12:19:28.000Z","@FundacionRepsol nos da de nuevo la oportunidad de contribuir a la consecución de los ODS. Solo del equipo de PyO de @Repsol, más de 250 personas de 18 países diferentes hemos participado en una o más acciones de voluntariado. Una experiencia muy enriquecedora. #VoluntariosRepsol https://t.co/rSiffHWT7D","{'code': 'Performance', 'polarity': 'P'}"
710,"2021-11-12T12:10:04.000Z","@Repsol Hola. Con la tarifa 10h. te pagan los excedentes? No encuentro una tarifa en vuestra web donde venga el precio del consumo de energía y potencia y la compensación de excedentes. Gracias","{}"
711,"2021-11-12T12:04:04.000Z","RT @Enerclub: #Educaenergia 
Curso: Mercado ibérico del gas con @MibgasInfo
🗓️1, 2 y 3 dic.
Reserva tú plaza👉https://t.co/ta6ZClbWJZ
Con @m…","{}"
712,"2021-11-12T12:00:02.000Z",".@Repsol alcanza un acuerdo con #Pontegadea, el vehículo inversor de #AmancioOrtega, para asociarse en el parque eólico Delta, mediante la inversión de 245 M€ para tomar una participación del 49% en el proyecto. Ésta es la entrada de Ortega en #renovables https://t.co/dmAkGgv0Jh https://t.co/id76rZ8vqF","{'code': 'Innovation', 'polarity': 'P'}"
713,"2021-11-12T11:36:59.000Z","RT aeqtonline ""#LatevaQuímica L’Aitor Estébanez és encarregat d’equips estàtics de @Repsol i és un enamorat de la seva feina.Començà a treballar a la química com a soldador i ara coordina l’equip d’estàtics de Repsol. Per a ell, la seguretat és una p… https://t.co/poIZMfsFjK""","{'code': 'Governance', 'polarity': 'NONE'}"
714,"2021-11-12T11:36:54.000Z","RT @aeqtonline: #LatevaQuímica L’Aitor Estébanez és encarregat d’equips estàtics de @Repsol i és un enamorat de la seva feina.Començà a tre…","{'code': 'Governance', 'polarity': 'NONE'}"
715,"2021-11-12T11:35:44.000Z","Seis establecimientos hosteleros de #Puertollano, calificados como «Soletes» de @Repsol  en la temporada de invierno 
#Viernes #ImasInformación 

https://t.co/LBGfG2huBg","{}"
716,"2021-11-12T11:34:40.000Z","@Repsol Hi I'm working this weekend but I will get the information sent as soon as possible. Thank you for replying","{}"
717,"2021-11-12T11:28:47.000Z","RT @expansioncom: Amancio Ortega entra en las #renovables. Acuerdo entre @Repsol y Pontegadea, su sociedad de inversión, para asociarse en…","{}"
718,"2021-11-12T11:26:49.000Z","RT @24clm: La UME participa en un simulacro de emergencia en Repsol de #Puertollano @UMEgob @Repsol @DGobiernoCLM @ftierraseca  https://t.c…","{'code': 'ProductsServices', 'polarity': 'N'}"
719,"2021-11-12T11:23:14.000Z","(MARCAS) @Repsol impulsa una novedosa acción alrededor del popular videojuego Animal Crossing: New Horizons de Nintendo
https://t.co/OuyANm0LFS","{}"
720,"2021-11-12T11:16:49.000Z","Buscando por Hilada honda (foto de la derecha, con la Sierra de Herrera al fondo), a ver si ha caído algún millón de los que ha pagado Ortega a @Repsol por los aires de nuestros montes… Villar de los Navarros, Herrera, Loscos,… https://t.co/wdKkwgxQqi","{}"
721,"2021-11-12T11:07:58.000Z","RT @Repsol: #SomosFuturo es un proyecto para inspirar a los jóvenes a ser los protagonistas del futuro. Queremos impulsar su talento y desp…","{}"
722,"2021-11-12T11:07:44.000Z","RT @expansioncom: Amancio Ortega entra en las #renovables. Acuerdo entre @Repsol y Pontegadea, su sociedad de inversión, para asociarse en…","{}"
